02/05-00:51:18.680922 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,00:FC:8B:B5:BF:02,FF:FF:FF:FF:FF:FF,0x159,,,,,,64,0,44405,331,76804,,,,
02/05-01:00:35.684835 ,1,1000001,0,"someone tried to access facebook.",TCP,31.13.86.36,80,192.168.8.8,54428,24:DF:6A:6B:E7:03,00:0C:29:3B:B6:11,0x15B,***AP***,0xF9B7F147,0x6C4D889,,0x6E,82,56,20379,333,78852,,,,
02/07-08:17:09.064590 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,50:1A:C5:BC:F7:AE,FF:FF:FF:FF:FF:FF,0x156,,,,,,128,0,23272,328,73732,,,,
02/07-08:17:09.069592 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,::,,ff02::1:ffb0:dab3,,50:1A:C5:BC:F7:AE,33:33:FF:B0:DA:B3,0x4E,,,,,,255,0,0,24,24576,135,0,0,0
02/07-08:17:11.116488 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,50:1A:C5:BC:F7:AE,FF:FF:FF:FF:FF:FF,0x161,,,,,,128,0,23273,339,84996,,,,
02/07-08:17:21.150877 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,2001:0:34ac:b067:2c4b:f8c5:a044:8ed0,,ff02::1,,50:1A:C5:BC:F7:AE,01:00:5E:00:00:FD,0x52,,,,,,21,0,0,0,0,,,,
02/07-08:20:13.281330 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,2001:0:34ac:b067:2c4b:f8c5:a044:8ed0,,ff02::1,,50:1A:C5:BC:F7:AE,01:00:5E:00:00:FD,0x52,,,,,,21,0,0,0,0,,,,
02/07-08:23:07.157979 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,2001:0:34ac:b067:2c4b:f8c5:a044:8ed0,,ff02::1,,50:1A:C5:BC:F7:AE,01:00:5E:00:00:FD,0x52,,,,,,21,0,0,0,0,,,,
02/07-08:24:33.688999 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,A0:18:28:80:B4:3B,FF:FF:FF:FF:FF:FF,0x156,,,,,,255,0,44866,328,73732,,,,
02/07-08:24:33.690209 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,::,,ff02::1:ffd7:aadc,,A0:18:28:80:B4:3B,33:33:FF:D7:AA:DC,0x56,,,,,,255,0,0,32,32768,135,0,0,0
02/07-08:26:10.609550 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,84:16:F9:67:22:94,FF:FF:FF:FF:FF:FF,0x156,,,,,,128,0,22000,328,73732,,,,
02/07-08:26:10.634649 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,::,,ff02::1:ffe1:89cb,,84:16:F9:67:22:94,33:33:FF:E1:89:CB,0x4E,,,,,,255,0,0,24,24576,135,0,0,0
02/07-08:26:13.678372 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,84:16:F9:67:22:94,FF:FF:FF:FF:FF:FF,0x171,,,,,,128,0,22001,355,101380,,,,
02/07-08:26:13.682488 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,F4:CB:52:F5:26:54,FF:FF:FF:FF:FF:FF,0x154,,,,,,64,0,0,326,71684,,,,
02/07-08:26:15.662931 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,68,255.255.255.255,67,F4:CB:52:F5:26:54,FF:FF:FF:FF:FF:FF,0x154,,,,,,64,0,0,326,71684,,,,
